source_ticker,target_ticker,relation_type,weight,is_directed,valid_from,valid_to,evidence_source,note
GAS,PVD,common_owner,0.5,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=95.8; owner_pct_j=50.0; method=common_owner_min_pct; min(95.80%, 50.00%)"
PVD,GAS,common_owner,0.5,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=95.8; owner_pct_j=50.0; method=common_owner_min_pct; min(95.80%, 50.00%)"
GAS,PVS,common_owner,0.5138,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=95.8; owner_pct_j=51.38; method=common_owner_min_pct; min(95.80%, 51.38%)"
PVS,GAS,common_owner,0.5138,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=95.8; owner_pct_j=51.38; method=common_owner_min_pct; min(95.80%, 51.38%)"
POW,PVD,common_owner,0.5,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=80.0; owner_pct_j=50.0; method=common_owner_min_pct; min(80.00%, 50.00%)"
PVD,POW,common_owner,0.5,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=80.0; owner_pct_j=50.0; method=common_owner_min_pct; min(80.00%, 50.00%)"
POW,PVS,common_owner,0.5138,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=80.0; owner_pct_j=51.38; method=common_owner_min_pct; min(80.00%, 51.38%)"
PVS,POW,common_owner,0.5138,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=80.0; owner_pct_j=51.38; method=common_owner_min_pct; min(80.00%, 51.38%)"
PVD,PVS,common_owner,0.5,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=50.0; owner_pct_j=51.38; method=common_owner_min_pct; min(50.00%, 51.38%)"
PVS,PVD,common_owner,0.5,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=PVN / Petrovietnam; owner_pct_i=50.0; owner_pct_j=51.38; method=common_owner_min_pct; min(50.00%, 51.38%)"
FOX,FRT,common_owner,0.361,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=FPT Corporation; owner_pct_i=45.66; owner_pct_j=36.1; method=common_owner_min_pct; min(45.66%, 36.10%)"
FRT,FOX,common_owner,0.361,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=FPT Corporation; owner_pct_i=45.66; owner_pct_j=36.1; method=common_owner_min_pct; min(45.66%, 36.10%)"
VGI,VTP,common_owner,0.6084,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=Viettel; owner_pct_i=99.03; owner_pct_j=60.84; method=common_owner_min_pct; min(99.03%, 60.84%)"
VTP,VGI,common_owner,0.6084,0,,,data/data_2/vietnam_ownership_graph_dataset_v1.xlsx:03_Graph_Weights,"common_owner=Viettel; owner_pct_i=99.03; owner_pct_j=60.84; method=common_owner_min_pct; min(99.03%, 60.84%)"
