source_ticker,target_ticker,relation_type,weight,is_directed,valid_from,valid_to,evidence_source,note
ABB,STB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ABB,TCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ABB,TPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ABB,VCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ABB,VIB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ABB,VPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ACB,ABB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ACB,BID,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ACB,CTG,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ACB,EIB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ACB,HDB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ACB,LPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ACB,MBB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ACB,MSB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ACB,OCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ACB,SHB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ACB,SSB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ACB,STB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ACB,TCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ACB,TPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ACB,VCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ACB,VIB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
ACB,VPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
BID,ABB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
BID,ACB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
BID,CTG,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
BID,EIB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
BID,HDB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
BID,LPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
BID,MBB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
BID,MSB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
BID,OCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
BID,SHB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
BID,SSB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
BID,STB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
BID,TCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
BID,TPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
BID,VCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
BID,VIB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
BID,VPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
CTG,ABB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
CTG,ACB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
CTG,BID,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
CTG,EIB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
CTG,HDB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
CTG,LPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
CTG,MBB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
CTG,MSB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
CTG,OCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
CTG,SHB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
CTG,SSB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
CTG,STB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
CTG,TCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
CTG,TPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
CTG,VCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
CTG,VIB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
CTG,VPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
EIB,ABB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
EIB,ACB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
EIB,BID,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
EIB,CTG,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
EIB,HDB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
EIB,LPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
EIB,MBB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
EIB,MSB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
EIB,OCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
EIB,SHB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
EIB,SSB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
EIB,STB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
EIB,TCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
EIB,TPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
EIB,VCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
EIB,VIB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
EIB,VPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
HDB,ABB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
HDB,ACB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
HDB,BID,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
HDB,CTG,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
HDB,EIB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
HDB,LPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
HDB,MBB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
HDB,MSB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
HDB,OCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
HDB,SHB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
HDB,SSB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
HDB,STB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
HDB,TCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
HDB,TPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
HDB,VCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
HDB,VIB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
HDB,VPB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
LPB,ABB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
LPB,ACB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
LPB,BID,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
LPB,CTG,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
LPB,EIB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
LPB,HDB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
LPB,MBB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
LPB,MSB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
LPB,OCB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
LPB,SHB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
LPB,SSB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
LPB,STB,business_cluster,0.62,0,,,curated thesis relationship map,same business cluster=banking; narrower than generic same_industry
