model,ticker,n,mae,rmse,mean_y_true,mean_y_pred
GNN + News,TPB,221,0.0067372395581874,0.0100338489893637,0.0198906250761576,0.0141148910316742
GNN + News,TRA,20,0.0104436184704523,0.0115733602227686,0.0070100629236548,0.01632026105
GNN + News,VCB,59,0.0072458248361847,0.0079925230427377,0.0137840485736979,0.0136081398559322
GNN + News,VCG,47,0.0067343018975546,0.0083983694022305,0.0186134627722995,0.0209239470638297
GNN + News,VCI,143,0.0069925278757152,0.0083342499066882,0.0227597259193449,0.0222234687342657
GNN + News,VGI,16,0.0054608498353077,0.0068246736882155,0.0189374763867817,0.02013734075
GNN + News,VHC,28,0.0087054125196492,0.0106204564136271,0.0184418295476851,0.0147730744107142
GNN + News,VHM,54,0.0114581365579385,0.0157545767745176,0.0261949238074184,0.0199391031851851
GNN + News,VIB,70,0.0081890893416907,0.0115176363753682,0.0185475514004272,0.0141156676857142
GNN + News,VIC,112,0.0113224019206211,0.013847494446594,0.0288624783362527,0.0206051567767857
GNN + News,VIX,36,0.0072737715565287,0.0104264454250471,0.0289263297907179,0.025252651
GNN + News,VJC,47,0.0130965130665203,0.0164594173045199,0.0263659120636417,0.0172959576914893
GNN + News,VND,82,0.0091113198495455,0.0125485809165588,0.0255297037045948,0.0224643641463414
GNN + News,VNM,56,0.0054600183193816,0.0072569711829403,0.0153986311966685,0.0147041016249999
GNN + News,VPB,97,0.0179339961882872,0.0229897974415227,0.0315425849433258,0.0148596257680412
GNN + News,VRE,46,0.0137748160229048,0.0152307182693119,0.0292996314414978,0.0223031572391304
GNN + News,VSC,48,0.0223729324164289,0.0255347440009977,0.0401371887419372,0.0181963561041666
GNN + News,VTP,19,0.0086005061917623,0.0096243703573625,0.0224337762613829,0.0168635782105263
GNN + Relationship,AAA,22,0.0053762482997929,0.0066180496484442,0.0166733580302785,0.0207700218636363
GNN + Relationship,ABB,150,0.0107013830895214,0.0137521375360994,0.0235966270665327,0.0144894205999999
GNN + Relationship,ACB,139,0.0068736465209308,0.0103432733106028,0.0138932821163304,0.013876059147482
GNN + Relationship,ACL,15,0.0115647369875154,0.0167932895887899,0.0259901870662967,0.0167073464
GNN + Relationship,ACV,30,0.0068697364962265,0.0082504633314992,0.0140636189530292,0.0166910290666666
GNN + Relationship,AGG,33,0.0078971964222496,0.0096072417465103,0.0158226809774835,0.0193957987575757
GNN + Relationship,AGR,26,0.0158653398430761,0.0200084396524783,0.0319308758928225,0.0219970076923076
GNN + Relationship,ANV,18,0.0112381012662161,0.0146703273843765,0.0280684634732702,0.0181364095277777
GNN + Relationship,APH,12,0.0076096604956408,0.0083995743558447,0.0152383000434686,0.0209721725833333
GNN + Relationship,AST,15,0.0060236582765695,0.0079895184648013,0.0165355194980899,0.0163192606
GNN + Relationship,BAF,34,0.0078019406435838,0.009681137505907,0.0116685177062582,0.0160675369999999
GNN + Relationship,BCM,104,0.0086921584400381,0.0096410794009466,0.0137543815743321,0.0196084892692307
GNN + Relationship,BFC,14,0.0068460613098225,0.0081698876272161,0.0167749984123344,0.0203227688571428
GNN + Relationship,BID,147,0.0057030057937314,0.0072673082748854,0.0154263328722848,0.0135358977959183
GNN + Relationship,BMP,17,0.0138437937853321,0.0157038167778815,0.0200445427394964,0.0207802507647058
GNN + Relationship,BSI,40,0.0094323654882532,0.0106556251797828,0.0208490765420719,0.02165945015
GNN + Relationship,BSR,122,0.0164466009011455,0.0216500602992354,0.0283415345894935,0.013819990752459
GNN + Relationship,BWE,60,0.005071458345513,0.0058453422330096,0.0107626478342959,0.0128541720666666
GNN + Relationship,C4G,20,0.0048234498337481,0.0052845722551808,0.0191483570262789,0.0214496338499999
GNN + Relationship,CMG,30,0.0073720979387016,0.0084655490602789,0.016959746244053,0.0172927757833333
GNN + Relationship,CRE,42,0.0105801097244997,0.0132495531121437,0.0311966346399414,0.0211954287380952
GNN + Relationship,CSV,35,0.007369479875238,0.0087800221214344,0.0197961416095494,0.0205657930571428
