model,event_trading_date,n,mae,rmse,mean_y_true,mean_y_pred
Linear Regression,2025-10-02,54,0.010145377838560761,0.01238210174498003,0.024621142992853232,0.016313340935185185
Linear Regression,2025-10-03,44,0.007220131832342631,0.008380500213205373,0.022036644905297543,0.01644667715909091
Linear Regression,2025-10-06,63,0.00644639654979213,0.008091994311812914,0.020151723834079836,0.02102994151428571
Linear Regression,2025-10-07,46,0.003981844001922483,0.005365421741557473,0.014874568836682468,0.01592014133695652
Linear Regression,2025-10-08,52,0.004917031097129505,0.007232575975653535,0.01686826635761037,0.015360538750000001
Linear Regression,2025-10-09,41,0.0046000212606133635,0.00649702826934316,0.01606979787849429,0.015928454487804878
Linear Regression,2025-10-10,52,0.007541448378966114,0.009417437227337106,0.020600084407935596,0.01858249078846154
Linear Regression,2025-10-13,40,0.01723825097856674,0.02074797817922995,0.03214684617705639,0.0173573969625
Linear Regression,2025-10-14,45,0.021078670167733023,0.0226272178976115,0.03828169517219062,0.017279858044444447
Linear Regression,2025-10-15,54,0.017794028135199202,0.019616072273198663,0.036122601168851014,0.01894964988888889
Linear Regression,2025-10-16,62,0.014739690899926695,0.017696244086507343,0.03185821052700758,0.01734542844354839
Linear Regression,2025-10-17,55,0.014588343181788758,0.016918305985297016,0.031015138107944578,0.016477029927272728
Linear Regression,2025-10-20,65,0.007731859954094902,0.009894306448500943,0.02243951394652513,0.018457588753846153
Linear Regression,2025-10-21,47,0.009432115352481441,0.011122884364364117,0.025770465253872086,0.022532442659574468
Linear Regression,2025-10-22,45,0.007207931026094732,0.009086306700144164,0.019319541048672405,0.019564776755555555
Linear Regression,2025-10-23,45,0.0063387436584390515,0.008071202896595733,0.02140720233114224,0.020449871555555554
Linear Regression,2025-10-24,72,0.0063372873807438545,0.008150708296330836,0.01749933316023084,0.01983184291666667
Linear Regression,2025-10-27,78,0.008927756516356047,0.010196137606148896,0.019912064278450485,0.020508913012820512
Linear Regression,2025-10-28,125,0.01111273861378706,0.012551869383557401,0.028391784910112575,0.023099273727999997
Linear Regression,2025-10-29,102,0.008541907786360502,0.010855779085801813,0.029484848592284212,0.02428088469607843
Linear Regression,2025-10-30,182,0.008860158556213337,0.011105665279821396,0.023661890883346623,0.022199735532967033
Linear Regression,2025-10-31,99,0.008071877584444347,0.010616784080297986,0.02492793248684112,0.021295778727272726
Linear Regression,2025-11-03,61,0.006682241652229767,0.008141403502126585,0.026701006778805915,0.02390348721311475
Linear Regression,2025-11-04,64,0.0070986459474238,0.008539028052959252,0.018412030396575522,0.02076724165625
Linear Regression,2025-11-05,40,0.006084421611216756,0.00786450561692685,0.020668999373447093,0.018879127449999998
Linear Regression,2025-11-06,41,0.004121703020856213,0.005396891305097083,0.02061274661341814,0.018779940780487805
Linear Regression,2025-11-07,41,0.006420851001307146,0.00790128856064579,0.017763100893849946,0.018860374892682927
Linear Regression,2025-11-10,57,0.006644081389894533,0.008973162705079701,0.017659802218539626,0.019303070798245614
Linear Regression,2025-11-11,52,0.005755910574282448,0.007545901502144708,0.015123921437547129,0.019566499288461544
Linear Regression,2025-11-12,34,0.009157693336908596,0.009854747539549204,0.01426352911135725,0.019969267029411764
Linear Regression,2025-11-13,47,0.006717791175379631,0.007947263664823572,0.014578079121147659,0.02024277221276596
Linear Regression,2025-11-14,71,0.007929227610615123,0.008844077541823142,0.015050731471437975,0.020260152633802812
Linear Regression,2025-11-17,78,0.011362012683882993,0.012726432384230718,0.010445172877576247,0.021691542474358973
Linear Regression,2025-11-18,43,0.006469005557859302,0.00769339738320516,0.0156158622960711,0.021868106976744187
Linear Regression,2025-11-19,68,0.004799254206325183,0.006423562007227637,0.020412673434132993,0.019026616029411764
Linear Regression,2025-11-20,40,0.0035439472364998093,0.0044466300326118135,0.017775878380052706,0.019245338525
Linear Regression,2025-11-21,47,0.005729281546334482,0.007598991089800955,0.01777388666697,0.01966533255319149
Linear Regression,2025-11-24,74,0.004513704156010243,0.005844662704001152,0.01743150676122384,0.018993815891891894
Linear Regression,2025-11-25,57,0.004166748913853044,0.004979751895675803,0.013550991862358698,0.016580012815789472
Linear Regression,2025-11-26,59,0.006973004965746362,0.008620906813853017,0.015499657493526603,0.017259112830508475
Linear Regression,2025-11-27,192,0.00572119219749657,0.006973631492225782,0.017676361846194248,0.015574465250000002
Linear Regression,2025-11-28,90,0.005120463712682173,0.006388026208790087,0.016510819092703327,0.017754491172222223
Linear Regression,2025-12-01,66,0.007204347873516251,0.009118218263544186,0.01761973041081515,0.01724142010606061
Linear Regression,2025-12-02,72,0.005628424448220987,0.007288938229231449,0.017712897472342223,0.018034723104166667
Linear Regression,2025-12-03,61,0.006552444747545722,0.007757228036532993,0.015556548699186918,0.016419113540983604
Linear Regression,2025-12-04,46,0.008214470061250097,0.010420324360844177,0.013738532672109758,0.016489277706521737
Linear Regression,2025-12-05,50,0.006742734855292651,0.009330817470875413,0.019886362818069717,0.01741184239
Linear Regression,2025-12-08,66,0.006276383722260596,0.008419643580115807,0.019471998322952606,0.01663439206818182
Linear Regression,2025-12-09,36,0.011170816606877451,0.013107133058088272,0.025395777774974652,0.015389124527777779
Linear Regression,2025-12-10,44,0.012069669505430819,0.01512809913462121,0.024844142005101485,0.016670790613636362
Linear Regression,2025-12-11,53,0.015672910968696895,0.01766955252589955,0.03230846336744019,0.016749040188679246
Linear Regression,2025-12-12,48,0.006786511735814099,0.008600976809577622,0.021237770716349257,0.015805283958333333
Linear Regression,2025-12-15,61,0.004392473738495781,0.005161346918261394,0.017470579976063244,0.01725912872131147
Linear Regression,2025-12-16,67,0.004405077494962589,0.005801227184562794,0.017891479093136587,0.01812029595522388
Linear Regression,2025-12-17,118,0.004338493741740278,0.005725810405458978,0.014813487242386339,0.015538215572033899
Linear Regression,2025-12-18,46,0.004863526464730785,0.0075803555275000874,0.01578389804648311,0.015949954130434783
Linear Regression,2025-12-19,62,0.005329160596633407,0.008076972984476818,0.01892630864805988,0.01794187477419355
Linear Regression,2025-12-22,86,0.00808053422893207,0.010632487511603752,0.016860676490766658,0.01968250716744186
Linear Regression,2025-12-23,68,0.008086572441677094,0.010574185710922676,0.01973986101117639,0.019136625227941177
Linear Regression,2025-12-24,74,0.007615242995678952,0.010565591825384087,0.017915854246254855,0.018171954804054057
Random Forest,2025-07-31,38,0.004897748442199371,0.00611014917242589,0.02602467791324379,0.022954866631578946
Random Forest,2025-08-01,56,0.0068262074927051474,0.008492678312279586,0.02270971175416234,0.020649420535714287
Random Forest,2025-08-04,93,0.00899673959502514,0.010416371731904295,0.020052293400650657,0.020769035016129027
Random Forest,2025-08-05,64,0.007413121206870934,0.008384853843629072,0.017234828395885367,0.020257859140625
Random Forest,2025-08-06,43,0.00739752541091844,0.008318156067474004,0.018395411998553286,0.018913481372093022
Random Forest,2025-08-07,84,0.006862644913604517,0.008801127133065275,0.021382174421367854,0.020424351672619048
Random Forest,2025-08-08,52,0.007351797236824082,0.008810047275123052,0.02204600044597795,0.02192306535576923
Random Forest,2025-08-11,66,0.006777529846493798,0.008555343027585989,0.0204010240197407,0.019982977916666665
Random Forest,2025-08-12,89,0.008101013201638554,0.009280708048359806,0.02237273580290037,0.019950562258426962
Random Forest,2025-08-13,91,0.007336604243595748,0.009710080392349503,0.02444609407601608,0.022596204401098906
Random Forest,2025-08-14,95,0.007781595778616659,0.009960013421934904,0.023455602744300075,0.01996177884736842
Random Forest,2025-08-15,86,0.009684711051962985,0.014002952107767516,0.02891002045294569,0.02185265062209302
Random Forest,2025-08-18,83,0.01499900552020797,0.020641232145194234,0.03491221956280336,0.023627702716867472
Random Forest,2025-08-19,50,0.01953229962727891,0.023800985969036945,0.04020799636840816,0.02168609946
Random Forest,2025-08-20,40,0.015384489337981144,0.018586727159286442,0.03783446820452806,0.023237310525
Random Forest,2025-08-21,58,0.013383080829797363,0.016113685191230964,0.03664916458314859,0.023856369517241374
Random Forest,2025-08-22,42,0.011769837011029556,0.014356711639900249,0.027782208774061394,0.021428242095238095
Random Forest,2025-08-25,76,0.0068607333762765845,0.008283070142223393,0.022652441476422664,0.025275870460526314
Random Forest,2025-08-26,69,0.012106857996120494,0.013221228084726618,0.016923747862270726,0.028732295724637674
Random Forest,2025-08-27,117,0.009673230521715646,0.012063495054225172,0.02378928370805628,0.024072459752136757
Random Forest,2025-08-28,96,0.006687381475670491,0.008130549378957996,0.021611958686359335,0.021721821916666672
Random Forest,2025-08-29,216,0.008858927716363816,0.011498484750329982,0.025899308216240625,0.023061007703703704
Random Forest,2025-09-03,140,0.006190488170170741,0.008089474829670512,0.023662234260700587,0.023062431135714285
Random Forest,2025-09-04,59,0.0071149884339762656,0.008982306993295684,0.02243107277110719,0.02178574754237288
Random Forest,2025-09-05,82,0.00653928860527268,0.008590438670627434,0.024520005079599543,0.02398984390243902
Random Forest,2025-09-08,65,0.008556643754203213,0.010346373939505757,0.017405288458730125,0.02490487226923077
Random Forest,2025-09-09,71,0.007084229884650589,0.00882355276727693,0.015949858503389903,0.021004383000000005
Random Forest,2025-09-10,24,0.00794671382083165,0.009090742016782264,0.01925560866948211,0.0230489050625
Random Forest,2025-09-11,38,0.010936332598814371,0.01266249924634766,0.014074166869058385,0.021545448552631585
