model,ticker,n,mae,rmse,mean_y_true,mean_y_pred
Full Model,TRA,20,0.01045509932634515,0.011186033954901222,0.00701006292365485,0.01746516225
Full Model,VCB,59,0.00650588040260229,0.007337707030537076,0.013784048573697983,0.012942311974576272
Full Model,VCG,47,0.00697009342946953,0.008226727257189651,0.018613462772299597,0.01982675574468085
Full Model,VCI,143,0.0072754950656320795,0.008644992495706686,0.022759725919344997,0.022240726195804195
Full Model,VGI,16,0.004869440264260925,0.005823665388289188,0.018937476386781747,0.020258219124999997
Full Model,VHC,28,0.007420080820196668,0.009655887228617365,0.01844182954768513,0.016695688214285714
Full Model,VHM,54,0.011546411090584706,0.015568524740428065,0.026194923807418415,0.021374435018518517
Full Model,VIB,70,0.00809112544417301,0.011362411392430377,0.01854755140042727,0.014698687092857142
Full Model,VIC,112,0.011440239603438537,0.013796233135781204,0.02886247833625277,0.021106997839285713
Full Model,VIX,36,0.007241436556123369,0.010174195760528415,0.028926329790717964,0.02598569927777778
Full Model,VJC,47,0.013364640872282011,0.01648231341142089,0.02636591206364171,0.0174080990106383
Full Model,VND,82,0.00799980055198001,0.01214590372424235,0.025529703704594807,0.023397062414634146
Full Model,VNM,56,0.005696235063702932,0.007416355856356331,0.015398631196668598,0.01676407294642857
Full Model,VPB,97,0.0176646058860518,0.02280517732591645,0.031542584943325826,0.015240683298969073
Full Model,VRE,46,0.01362381952290488,0.01516421909654556,0.029299631441497893,0.022946243347826085
Full Model,VSC,48,0.02220798508598036,0.025152595366276977,0.04013718874193722,0.01839570775
Full Model,VTP,19,0.00933915388752321,0.01048297621234972,0.022433776261382946,0.016720180157894737
GNN + News,AAA,22,0.005373703481611169,0.006372113987021534,0.016673358030278532,0.02056036086363636
GNN + News,ABB,150,0.010081571572813659,0.013166814862663521,0.02359662706653273,0.015085083999999999
GNN + News,ACB,139,0.006749199889744491,0.009964147780353262,0.013893282116330405,0.01412931831294964
