model,ticker,n,mae,rmse,mean_y_true,mean_y_pred
GNN + News,VPB,65,0.7369337761979682,0.9231062998589892,0.0570190036024611,-0.2952101642800001
GNN + News,VRE,27,0.5559831205748594,0.7074164072288094,-0.0279212044896903,0.1639732326518518
GNN + News,VSC,38,0.7459230330140778,0.8857237763467426,0.0400755752466226,-0.1448202098421052
GNN + News,VTP,19,0.4978061769754026,0.6408622725245597,0.1753264672466014,0.4825430222631579
GNN + Relationship,AAA,16,0.687567140093115,0.8364813445180675,-0.2202084199525416,0.382278790125
GNN + Relationship,ABB,53,0.5895154065162043,0.7650496846948289,-0.2885943305907103,-0.2210397731132075
GNN + Relationship,ACB,63,0.6862833977429625,0.8275968051168738,-0.1154287962154263,0.0748775264746031
GNN + Relationship,ACL,6,1.2161199946858596,1.2925712165364809,0.5735800315936407,0.0779661283333333
GNN + Relationship,ACV,24,0.655610377159249,0.7740642114486076,-0.0738842698434988,0.45181391
GNN + Relationship,AGG,16,0.8965641045720928,0.975525770419198,-0.0657214815728366,0.226301827125
GNN + Relationship,AGR,11,0.6980260244367149,0.7459828549568479,0.1931342590938914,0.2627688963636364
GNN + Relationship,ANV,17,0.6864993839367834,0.8462783806402262,-0.0364463780732715,-0.3615505142941176
GNN + Relationship,APH,12,0.7296576347187801,0.9019768287294244,0.0823335823758194,0.6409094058333334
GNN + Relationship,AST,10,0.908423494431384,0.9670639026192543,0.0008154105395078,0.312254584
GNN + Relationship,BAF,24,0.7557459055275203,0.9294173486277068,0.0471944621143241,0.5831785226249999
GNN + Relationship,BCM,39,0.5946582060006416,0.6901985319875238,-0.1235773253899354,0.2294923765128204
GNN + Relationship,BFC,7,0.6787078536131658,0.7306346851291706,-0.201708721263068,0.0758919831428571
GNN + Relationship,BID,60,0.4637793410218381,0.5563443560302394,-0.0875479367561638,0.0658767282183333
GNN + Relationship,BMP,16,0.991937563794972,1.088972975503038,-0.1555960352998227,0.55335712756875
GNN + Relationship,BSI,18,0.7271445856008438,0.8745802220001491,0.0111983927587668,0.3218852557777778
GNN + Relationship,BSR,48,0.6856987263274178,0.8526086904386873,-0.0604368184382716,-0.0936188834375
GNN + Relationship,BWE,31,0.4897657477193912,0.5635202319718285,-0.0180054504063821,0.3155332702806451
GNN + Relationship,C4G,7,0.6426942318626622,0.7002049683111979,-0.428054894719805,0.2146393371428571
GNN + Relationship,CMG,29,0.5283332353690923,0.6070850512241149,-0.1221968549592741,0.1852722891034482
GNN + Relationship,CRE,20,0.5794284150355441,0.6925606085132284,0.1562562558799982,0.3600223762
GNN + Relationship,CSV,18,0.8096500206074366,0.9168251132074856,-0.0723525476124551,0.3752287902222222
GNN + Relationship,CTD,38,0.771462369006952,0.8495141422344566,0.0415893094123978,0.2333667329526315
GNN + Relationship,CTG,60,0.5731452322455987,0.6586351000423264,0.0190911068891485,0.0051456118788333
GNN + Relationship,CTS,32,0.6899862672633321,0.7734698435504378,-0.0101250694133341,0.1720849301874999
GNN + Relationship,DBC,32,0.6161273153456707,0.7281546979502643,-0.1126350158592686,0.196604642875
GNN + Relationship,DBD,26,0.4726301782556266,0.531759867237423,-0.0450945672614929,0.3809714361538461
GNN + Relationship,DCM,17,0.4468761310550473,0.5601504079457585,-0.056842092095929,0.1095922867647058
GNN + Relationship,DGC,21,0.6629014897382534,0.7230389017932143,0.1087691961299805,0.3069748239523809
GNN + Relationship,DGW,35,0.502823217298397,0.5773239802578364,-0.0242711584482874,-0.0837640021457142
GNN + Relationship,DHG,11,0.4221848998775954,0.4569645443053061,0.1614551820199598,0.4572675181818181
GNN + Relationship,DIG,41,0.647280211673023,0.7917625579057769,-0.0085845518539228,-0.0562986230487804
GNN + Relationship,DMC,9,0.6430372846106466,0.6927768022174865,-0.1928451524840461,0.3704057777777778
GNN + Relationship,DPG,21,0.5776737002355441,0.7235245049789937,-0.2676063109011877,0.1554432251904761
GNN + Relationship,DPM,35,0.6839607815981202,0.8215367698664534,-0.0289152082587991,0.1997703995657143
GNN + Relationship,DXG,45,0.7161022682002129,0.8344637218125049,0.0490912044420838,0.0333710584977777
GNN + Relationship,EIB,31,0.6234511986220032,0.7501502454391117,-0.0799182631796406,-0.0778687506258064
GNN + Relationship,ELC,24,0.6677065530962074,0.7672355887071437,-0.2852666120209808,0.2285430697916667
GNN + Relationship,FCN,21,0.6877133951342704,0.7515274593389909,-0.0492713444289707,0.1872173260952381
GNN + Relationship,FMC,12,0.3524073419479974,0.4521277488358792,0.0375686846673488,0.2971841541666666
GNN + Relationship,FOX,17,0.8113791063649338,0.8930886237406819,-0.4043013334602994,0.1689285495882353
GNN + Relationship,FPT,48,0.6129159524416303,0.6820322406893329,-0.0835304286253328,0.2549851206875
GNN + Relationship,FRT,20,0.4756004598007181,0.5587329252733072,-0.1145795594900846,0.0982783640799999
GNN + Relationship,FTS,25,0.6925245996366585,0.8188283664867423,-0.0707383234333247,0.26171837418
GNN + Relationship,GAS,30,0.5027883176272849,0.6082362756826531,0.1102857644669711,0.3075004163499999
GNN + Relationship,GEG,19,0.6140503070419914,0.660076830718446,-0.0899184612851394,0.1241339995263158
GNN + Relationship,GEX,34,0.8175746895468093,0.9921185941820596,-0.1032741731580565,0.022587353617647
GNN + Relationship,GMD,28,0.4613348530258968,0.5692431466764837,-0.1598420555570296,-0.0255795606428571
GNN + Relationship,GVR,18,0.7668821099003356,0.8406475461208867,-0.1156016559236579,0.2785618955555555
GNN + Relationship,HAH,33,0.7034636595034529,0.8494515672828901,-0.0354983269265203,0.0670961875454545
