article_id,ticker,company_name,is_primary,mention_count,relevance_score,company_sentiment,mapping_method,matched_text
N009837,FOX,FPT Telecom,1,1,1.0,0.0,ticker_match,FOX
N009838,FOX,FPT Telecom,1,1,1.0,0.0,ticker_match,FOX
N009839,FOX,FPT Telecom,1,1,1.0,0.0,ticker_match,FOX
N009840,FPT,FPT Corporation,1,1,1.0,0.0,ticker_match,FPT
N009841,FPT,FPT Corporation,1,1,1.0,0.0,ticker_match,FPT
N009842,FPT,FPT Corporation,1,1,1.0,0.0,ticker_match,FPT
N009843,FPT,FPT Corporation,1,1,0.8,0.0,source_ticker,FPT
N009844,FTS,FPTS,1,1,1.0,0.0,ticker_match,FTS
N009845,GEX,GELEX,1,1,1.0,-0.333333,ticker_match,GEX
N009846,GVR,VRG,1,1,1.0,0.0,ticker_match,GVR
N009847,HAH,Hai An,1,1,1.0,0.0,ticker_match,HAH
N009848,HAH,Hai An,1,1,1.0,0.0,ticker_match,HAH
N009849,HAH,Hai An,1,1,1.0,0.0,ticker_match,HAH
N009850,HAH,Hai An,1,1,1.0,0.0,ticker_match,HAH
N009851,HAH,Hai An,1,1,1.0,0.0,ticker_match,HAH
N009852,HAH,Hai An,1,1,1.0,0.0,ticker_match,HAH
N009853,HAH,Hai An,1,1,1.0,0.0,ticker_match,HAH
N009854,HAH,Hai An,1,1,1.0,0.0,ticker_match,HAH
N009855,HAH,Hai An,1,1,1.0,0.0,ticker_match,HAH
N009856,HAH,Hai An,1,1,1.0,0.0,ticker_match,HAH
N009857,HAH,Hai An,1,1,1.0,0.0,ticker_match,HAH
N009858,HAH,Hai An,1,1,1.0,0.0,ticker_match,HAH
N009859,HDB,HDBank,1,1,1.0,0.0,ticker_match,HDB
N009860,HPG,Hoa Phat,1,1,0.8,0.0,source_ticker,HPG
N009861,HSG,Hoa Sen Group,1,1,0.8,0.0,source_ticker,HSG
N009862,KBC,Kinh Bac,1,1,1.0,0.0,ticker_match,KBC
N009863,KBC,Kinh Bac,1,1,1.0,0.0,ticker_match,KBC
N009864,KBC,Kinh Bac,1,1,1.0,0.0,ticker_match,KBC
N009865,LTG,Loc Troi Group,1,1,1.0,0.0,ticker_match,LTG
N009866,MBB,MBBank,1,2,1.0,0.0,ticker_match,MBB
N009867,MBB,MBBank,1,2,1.0,0.0,ticker_match,MBB
N009868,MSB,MSB,1,1,1.0,0.333333,ticker_match,MSB
N009869,MSB,MSB,1,1,1.0,0.0,ticker_match,MSB
N009870,MSB,MSB,1,2,1.0,0.0,ticker_match,MSB
N009871,MSB,MSB,1,1,1.0,0.0,ticker_match,MSB
N009872,NLG,Nam Long,1,1,0.95,0.0,company_name_match,Nam Long
N009873,PAN,PAN Group,1,1,1.0,0.0,ticker_match,PAN
N009874,PNJ,Phu Nhuan Jewelry,1,1,1.0,0.333333,ticker_match,PNJ
N009875,PVD,PV Drilling,1,1,1.0,0.0,ticker_match,PVD
N009876,QNS,Duong Quang Ngai,1,1,1.0,-0.666667,ticker_match,QNS
N009877,SCR,SCR,1,1,1.0,-0.666667,ticker_match,SCR
N009878,SSB,SSB,1,1,1.0,0.0,ticker_match,SSB
N009879,TCB,Techcombank,1,1,1.0,0.666667,ticker_match,TCB
N009880,TCB,Techcombank,1,1,1.0,0.0,ticker_match,TCB
N009881,TCB,Techcombank,1,1,1.0,0.0,ticker_match,TCB
N009882,TPB,TPBank,1,1,0.8,0.0,source_ticker,TPB
N009883,TRA,Traphaco,1,1,1.0,0.0,ticker_match,TRA
N009884,TRA,Traphaco,1,1,1.0,0.0,ticker_match,TRA
N009885,VHM,Vinhomes,1,2,1.0,0.0,ticker_match,VHM
N009886,VND,VNDirect,1,1,1.0,0.0,ticker_match,VND
N009887,VTP,Viettel Post,1,1,1.0,0.0,ticker_match,VTP
N009888,VTP,Viettel Post,1,1,1.0,0.0,ticker_match,VTP
N009889,VTP,Viettel Post,1,1,1.0,0.0,ticker_match,VTP
N009890,ABB,ABBANK,1,1,0.8,0.533333,source_ticker,ABB
N009891,ACB,ACB,1,1,1.0,0.0,ticker_match,ACB
N009892,ACB,ACB,1,1,1.0,0.0,ticker_match,ACB
N009893,ACL,ACL,1,1,1.0,0.0,ticker_match,ACL
N009894,BAF,BAF Viet Nam,1,1,1.0,0.0,ticker_match,BAF
N009895,BFC,Binh Dien Fertilizer,1,1,1.0,0.0,ticker_match,BFC
N009896,BFC,Binh Dien Fertilizer,1,1,1.0,0.0,ticker_match,BFC
N009897,BID,BIDV,1,1,0.8,0.533333,source_ticker,BID
N009898,BMP,Binh Minh Plastic,1,1,1.0,0.0,ticker_match,BMP
N009899,BMP,Binh Minh Plastic,1,1,1.0,0.0,ticker_match,BMP
N009900,BWE,BWE,1,1,1.0,0.0,ticker_match,BWE
N009901,BWE,BWE,1,1,1.0,0.0,ticker_match,BWE
N009902,CMG,CMC Corporation,1,1,1.0,0.0,ticker_match,CMG
N009903,CRE,CRE,1,1,1.0,0.0,ticker_match,CRE
N009904,CRE,CRE,1,1,1.0,0.0,ticker_match,CRE
N009905,DBD,DBD,1,1,1.0,0.0,ticker_match,DBD
N009906,DBD,DBD,1,1,1.0,0.0,ticker_match,DBD
N009907,DBD,DBD,1,1,1.0,0.0,ticker_match,DBD
N009908,DGC,Duc Giang,1,1,1.0,0.0,ticker_match,DGC
N009909,EIB,Eximbank,1,1,1.0,0.0,ticker_match,EIB
N009910,EIB,Eximbank,1,1,1.0,-0.333333,ticker_match,EIB
N009911,GEX,GELEX,1,1,1.0,0.0,ticker_match,GEX
N009912,HDB,HDBank,1,1,0.95,0.0,company_name_match,HDBank
N009913,HDB,HDBank,1,1,1.0,0.0,ticker_match,HDB
N009914,HDB,HDBank,1,1,1.0,0.0,ticker_match,HDB
N009915,HDB,HDBank,1,1,1.0,0.0,ticker_match,HDB
N009916,HDB,HDBank,1,1,1.0,0.0,ticker_match,HDB
N009917,HDB,HDBank,1,1,1.0,0.0,ticker_match,HDB
N009918,HDB,HDBank,1,1,0.95,0.316667,company_name_match,HDBank
N009919,KDH,Khang Dien,1,1,1.0,-0.333333,ticker_match,KDH
N009920,KDH,Khang Dien,1,1,1.0,0.0,ticker_match,KDH
N009921,LPB,LPBank,1,1,1.0,0.0,ticker_match,LPB
N009922,MSB,MSB,1,1,1.0,0.0,ticker_match,MSB
N009923,MSN,Masan Group,1,1,1.0,0.0,ticker_match,MSN
N009924,MSN,Masan Group,1,1,0.8,0.0,source_ticker,MSN
N009925,MWG,Mobile World,1,1,0.8,0.0,source_ticker,MWG
N009926,NTL,Phat Dat,1,1,1.0,0.0,ticker_match,NTL
N009927,SGN,Sai Gon Cargo,1,1,1.0,0.0,ticker_match,SGN
N009928,SGN,Sai Gon Cargo,1,1,1.0,0.0,ticker_match,SGN
N009929,SGN,Sai Gon Cargo,1,1,1.0,0.0,ticker_match,SGN
N009930,SSB,SSB,1,1,0.9,0.6,alias_match,SeABank
N009931,SSB,SSB,1,1,1.0,0.0,ticker_match,SSB
N009932,TCB,Techcombank,1,1,1.0,0.0,ticker_match,TCB
N009933,VHM,Vinhomes,1,1,1.0,0.0,ticker_match,VHM
N009934,VHM,Vinhomes,1,1,1.0,0.0,ticker_match,VHM
N009935,VHM,Vinhomes,1,1,1.0,0.0,ticker_match,VHM
N009936,VIX,VIX Securities,1,1,1.0,0.0,ticker_match,VIX
N009937,VND,VNDirect,1,1,0.95,0.0,company_name_match,VNDirect
N009938,VND,VNDirect,1,1,0.95,0.0,company_name_match,VNDirect
N009939,VPB,VPBank,1,1,1.0,1.0,ticker_match,VPB
N009940,VPB,VPBank,1,1,1.0,0.0,ticker_match,VPB
N009941,VPB,VPBank,1,1,1.0,0.0,ticker_match,VPB
N009942,VSC,Viconship,1,1,1.0,0.0,ticker_match,VSC
N009943,VSC,Viconship,1,1,1.0,0.0,ticker_match,VSC
N009944,ACL,ACL,1,1,1.0,0.0,ticker_match,ACL
N009945,ACL,ACL,1,1,1.0,0.0,ticker_match,ACL
N009946,AGG,An Gia,1,1,1.0,0.0,ticker_match,AGG
N009947,AGG,An Gia,1,1,1.0,0.0,ticker_match,AGG
N009948,AGG,An Gia,1,1,1.0,0.0,ticker_match,AGG
N009949,BAF,BAF Viet Nam,1,1,1.0,0.0,ticker_match,BAF
N009950,BAF,BAF Viet Nam,1,1,1.0,0.0,ticker_match,BAF
N009951,BFC,Binh Dien Fertilizer,1,1,1.0,0.0,ticker_match,BFC
N009952,BFC,Binh Dien Fertilizer,1,1,1.0,0.0,ticker_match,BFC
N009953,BID,BIDV,1,1,1.0,0.0,ticker_match,BID
N009954,BID,BIDV,1,1,1.0,0.0,ticker_match,BID
N009955,BSR,Binh Son Refining,1,1,1.0,0.0,ticker_match,BSR
N009956,BSR,Binh Son Refining,1,1,1.0,0.0,ticker_match,BSR
N009957,CMG,CMC Corporation,1,1,1.0,0.0,ticker_match,CMG
N009958,CRE,CRE,1,1,1.0,0.0,ticker_match,CRE
N009959,VCB,Vietcombank,0,1,0.95,0.316667,company_name_match,Vietcombank
N009959,CTG,VietinBank,1,1,0.8,0.266667,source_ticker,CTG
