ticker,date,title,url
DMC,26/02/2025,"Ra gi&#225; chưa từng c&#243; trong lịch sử, hơn 12 triệu cp DMC chịu cảnh “ế” h&#224;ng",//vietstock.vn/2025/02/ra-gia-chua-tung-co-trong-lich-su-hon-12-trieu-cp-dmc-chiu-canh-e-hang-739-1275323.htm
DMC,20/02/2025,DMC: Th&#244;ng b&#225;o ng&#224;y ĐKCC để thực hiện quyền tham dự ĐHCĐ thường ni&#234;n năm 2025,//vietstock.vn/2025/02/dmc-thong-bao-ngay-dkcc-de-thuc-hien-quyen-tham-du-dhcd-thuong-nien-nam-2025-830-1273336.htm
DMC,21/01/2025,DMC: B&#225;o c&#225;o t&#236;nh h&#236;nh quản trị năm 2024,//vietstock.vn/2025/01/dmc-bao-cao-tinh-hinh-quan-tri-nam-2024-737-1264238.htm
DMC,20/01/2025,DMC: CBTT lập DSCĐ để thực hiện quyền tham dự ĐHCĐ thường ni&#234;n năm 2025,//vietstock.vn/2025/01/dmc-cbtt-lap-dscd-de-thuc-hien-quyen-tham-du-dhcd-thuong-nien-nam-2025-830-1263773.htm
DMC,20/01/2025,DMC: Giải tr&#236;nh biến động KQKD qu&#253; 4/2024 so với c&#249;ng kỳ năm trước,//vietstock.vn/2025/01/dmc-giai-trinh-bien-dong-kqkd-quy-4-2024-so-voi-cung-ky-nam-truoc-737-1263778.htm
DMC,20/01/2025,DMC: Th&#244;ng b&#225;o chấm dứt hoạt động chi nh&#225;nh An Giang,//vietstock.vn/2025/01/dmc-thong-bao-cham-dut-hoat-dong-chi-nhanh-an-giang-737-1263702.htm
DMC,20/01/2025,DMC: CBTT lập DSCĐ để thực hiện quyền tham dự ĐHCĐ thường ni&#234;n năm 2025,//vietstock.vn/2025/01/dmc-cbtt-lap-dscd-de-thuc-hien-quyen-tham-du-dhcd-thuong-nien-nam-2025-830-1263508.htm
DMC,20/01/2025,DMC: BCTC qu&#253; 4 năm 2024,//vietstock.vn/2025/01/dmc-bctc-quy-4-nam-2024-737-1263808.htm
DMC,02/12/2024,"PCN: Ng&#224;y 23/12/2024, ng&#224;y hủy ĐKGD cổ phiếu của CTCP H&#243;a phẩm dầu kh&#237; DMC - Miền Bắc",//vietstock.vn/2024/12/pcn-ngay-23-12-2024-ngay-huy-dkgd-co-phieu-cua-ctcp-hoa-pham-dau-khi-dmc-mien-bac-830-1249282.htm
DMC,21/10/2024,DMC: Giải tr&#236;nh biến động KQKD qu&#253; 3/2024 so với c&#249;ng kỳ năm trước,//vietstock.vn/2024/10/dmc-giai-trinh-bien-dong-kqkd-quy-3-2024-so-voi-cung-ky-nam-truoc-737-1238119.htm
DMC,21/10/2024,DMC: BCTC qu&#253; 3 năm 2024,//vietstock.vn/2024/10/dmc-bctc-quy-3-nam-2024-737-1238136.htm
DMC,05/09/2024,DMC: Th&#244;ng b&#225;o ng&#224;y ĐKCC chi trả cổ tức năm 2023 bằng tiền,//vietstock.vn/2024/09/dmc-thong-bao-ngay-dkcc-chi-tra-co-tuc-nam-2023-bang-tien-738-1226162.htm
DMC,23/08/2024,"Domesco chốt trả cổ tức 2,500 đồng/cp năm thứ 7 li&#234;n tiếp, &quot;g&#227; khổng lồ&quot; Abbott vớ bẫm",//vietstock.vn/2024/08/domesco-chot-tra-co-tuc-2500-dongcp-nam-thu-7-lien-tiep-ga-khong-lo-abbott-vo-bam-738-1222289.htm
DMC,23/08/2024,DMC: Đ&#237;nh ch&#237;nh B&#225;o c&#225;o t&#236;nh h&#236;nh quản trị c&#244;ng ty 6 th&#225;ng đầu năm 2024,//vietstock.vn/2024/08/dmc-dinh-chinh-bao-cao-tinh-hinh-quan-tri-cong-ty-6-thang-dau-nam-2024-737-1222220.htm
DMC,23/08/2024,DMC: Nghị quyết HĐQT về việc trả cổ tức năm 2023,//vietstock.vn/2024/08/dmc-nghi-quyet-hdqt-ve-viec-tra-co-tuc-nam-2023-737-1222232.htm
DMC,15/08/2024,DMC: Giải tr&#236;nh ch&#234;nh lệch lợi nhuận sau thuế 6 th&#225;ng đầu năm 2024 so với 6 th&#225;ng đầu năm 2023,//vietstock.vn/2024/08/dmc-giai-trinh-chenh-lech-loi-nhuan-sau-thue-6-thang-dau-nam-2024-so-voi-6-thang-dau-nam-2023-737-1219495.htm
DMC,15/08/2024,DMC: BCTC 6 th&#225;ng đầu năm 2024,//vietstock.vn/2024/08/dmc-bctc-6-thang-dau-nam-2024-737-1219543.htm
DMC,24/07/2024,DMC: B&#225;o c&#225;o t&#236;nh h&#236;nh quản trị c&#244;ng ty 6 th&#225;ng đầu năm 2024,//vietstock.vn/2024/07/dmc-bao-cao-tinh-hinh-quan-tri-cong-ty-6-thang-dau-nam-2024-737-1211298.htm
DMC,22/07/2024,Đ&#226;u l&#224; những Doanh nghiệp Đạt Chuẩn c&#244;ng bố th&#244;ng tin 5 năm li&#234;n tục tr&#234;n s&#224;n chứng kho&#225;n?,//vietstock.vn/2024/07/dau-la-nhung-doanh-nghiep-dat-chuan-cong-bo-thong-tin-5-nam-lien-tuc-tren-san-chung-khoan-830-1209885.htm
DMC,22/07/2024,DMC: Giải tr&#236;nh biến động kết quả kinh doanh qu&#253; 2/2024 so với qu&#253; 2/2023,//vietstock.vn/2024/07/dmc-giai-trinh-bien-dong-ket-qua-kinh-doanh-quy-2-2024-so-voi-quy-2-2023-737-1209805.htm
DMC,22/07/2024,DMC: BCTC qu&#253; 2 năm 2024,//vietstock.vn/2024/07/dmc-bctc-quy-2-nam-2024-737-1209815.htm
