model,category,n,mae,rmse,mean_y_true,mean_y_pred
Linear Regression,other,877,0.5206629322396552,0.6384972675819393,-0.08779166017880954,-0.15387095122136832
Linear Regression,project_contract,146,0.5564512750283638,0.6941811336080836,0.02744067188715945,-0.19341288494123288
Random Forest,capital_issuance,183,0.5915347917079532,0.7098357155187018,-0.021802491218340204,-0.18643653045683056
Random Forest,debt_bond,439,0.501348754313073,0.6185046334361565,-0.11993857590332606,-0.21102330544615033
Random Forest,dividend,151,0.5028280285270691,0.6247120581227046,-0.039072536147933525,-0.15013647627152316
Random Forest,earnings,573,0.5374740079156206,0.6505527159154828,-0.01436807292214486,-0.1267225662821117
Random Forest,leadership,349,0.5259420730072588,0.6367624912380974,-0.07683255555032135,-0.16174826080458451
Random Forest,legal_regulatory,86,0.5702765967645604,0.6983368575964132,-0.11731149629841364,-0.14762100925581395
Random Forest,ma_ownership,431,0.5363802260095685,0.6548075070927429,-0.08025613706612963,-0.1791659992798144
Random Forest,market_industry,403,0.5594207421487585,0.6877807467520015,-0.0461888198414933,-0.1771189839035484
Random Forest,other,877,0.5249960563364803,0.6401647094136427,-0.08779166017880954,-0.15391050397466363
Random Forest,project_contract,146,0.5466596581638045,0.6761997976341539,0.02744067188715945,-0.15872583366438356
Rolling Volatility,capital_issuance,183,0.6417787764610419,0.7404601205173456,-0.021802491218340204,0.02284694068251366
Rolling Volatility,debt_bond,439,0.6025040828413434,0.7072267009982371,-0.11993857590332606,0.022474338572209564
Rolling Volatility,dividend,151,0.5837392427671396,0.6820350035733989,-0.039072536147933525,0.0210009432986755
Rolling Volatility,earnings,573,0.6033905830932612,0.6984757608095096,-0.01436807292214486,0.0221232321443281
Rolling Volatility,leadership,349,0.5797528698462404,0.6786502012242893,-0.07683255555032135,0.021470448753868193
Rolling Volatility,legal_regulatory,86,0.6507678920802494,0.751624024444968,-0.11731149629841364,0.02166961171860465
Rolling Volatility,ma_ownership,431,0.5920027355955263,0.688637850273061,-0.08025613706612963,0.0229050144162413
Rolling Volatility,market_industry,403,0.6281091480182518,0.7329525613096303,-0.0461888198414933,0.023139882938461538
Rolling Volatility,other,877,0.599944908895619,0.7044511564450985,-0.08779166017880954,0.02188647549555302
Rolling Volatility,project_contract,146,0.5734591051977795,0.6716457052296327,0.02744067188715945,0.021738040619863015
