model,event_trading_date,n,mae,rmse,mean_y_true,mean_y_pred
GNN + Relationship,2025-09-05,40,0.5042668275390711,0.6055852640935545,-0.26589589260984214,0.054217363575
GNN + Relationship,2025-09-08,34,0.8890325266326548,0.9937693308954647,-0.692036332014729,0.15241852023529412
GNN + Relationship,2025-09-09,34,0.8740088020044761,1.0132475159672567,-0.583147019668318,0.25675685494117645
GNN + Relationship,2025-09-10,15,0.7784913222849332,0.9175852789348985,-0.5063832828154167,0.03695387586666666
GNN + Relationship,2025-09-11,24,0.903688038903181,1.0719741481210296,-0.7523090887504319,0.018267555879166664
GNN + Relationship,2025-09-12,35,0.7515382660870622,0.918706757663593,-0.5365998666201319,-0.04938345608571429
GNN + Relationship,2025-09-15,26,0.8399184536990286,0.996995584777333,-0.6407614733593968,0.11042907234615384
GNN + Relationship,2025-09-16,24,0.8020178424320759,1.0236191202470015,-0.5739597231925776,0.039333514291666656
GNN + Relationship,2025-09-17,26,0.5363684402526433,0.6702868830027002,-0.603710324718402,-0.10169215603846153
GNN + Relationship,2025-09-18,30,0.6119609394300157,0.7169278322502642,-0.5061139052112897,0.051459453366666665
GNN + Relationship,2025-09-19,27,0.6370945189360194,0.7278629881693955,-0.46342689792315167,0.05494543940740742
GNN + Relationship,2025-09-22,32,0.6406575051436629,0.7394060345563916,-0.50593942462001,0.031770660781249994
GNN + Relationship,2025-09-23,20,0.8840656484824674,0.9977941383550217,-0.5915107115637511,0.2612353625
GNN + Relationship,2025-09-24,18,0.7619320594549612,0.8359858518291311,-0.6660241770247618,0.08770297222222222
GNN + Relationship,2025-09-25,23,0.6778707892528165,0.7607376818197465,-0.5250428372427173,0.06072364869565219
GNN + Relationship,2025-09-26,30,0.5419632797987729,0.613850946436658,-0.4215045191347599,-0.0009816617800000066
GNN + Relationship,2025-09-29,39,0.6086792070993159,0.728285115341891,0.32395532497992885,-0.03134755692820513
GNN + Relationship,2025-09-30,25,0.6058433753230942,0.7188626798560306,0.2917064583301544,-0.0820831994172
GNN + Relationship,2025-10-01,25,0.5950535562525833,0.743076974918235,0.2020943395793438,0.11903480687999998
GNN + Relationship,2025-10-02,29,0.734030046835117,0.8561640013063329,0.21972038982243375,-0.1252564723448276
GNN + Relationship,2025-10-03,25,0.4634608916243627,0.5489686883298497,0.175862440764904,0.130641770096
GNN + Relationship,2025-10-06,32,0.6851146736809579,0.7778023734927,-0.26870964182307944,0.28880155656249995
GNN + Relationship,2025-10-07,25,0.4594257922441797,0.5378277441428759,-0.175495589338243,0.09794781348
GNN + Relationship,2025-10-08,28,0.37348801321923936,0.4857341437235352,-0.17656355976526225,-0.20554559696071428
GNN + Relationship,2025-10-09,27,0.43576505573518504,0.5206369382162969,-0.17065722467722716,-0.06945590677777778
GNN + Relationship,2025-10-10,29,0.5363329737355129,0.6362135380132424,-0.13070322923233796,0.01945296286206896
GNN + Relationship,2025-10-13,25,1.060710225779004,1.155700764685794,0.7078819409012794,-0.17683535676
GNN + Relationship,2025-10-14,21,1.0465741177600685,1.1408647744172715,0.9612667716684795,-0.051096973433333324
GNN + Relationship,2025-10-15,32,0.718850630113741,0.8207765959907082,0.8789658676832914,0.18592622759375
GNN + Relationship,2025-10-16,30,0.8194710763542381,0.9189913886438014,0.8441125822563966,0.07650003886666665
GNN + Relationship,2025-10-17,32,0.6963418740051983,0.7906899320779742,0.7578306240029633,0.14403563257187502
GNN + Relationship,2025-10-20,38,0.41806592892793015,0.5146314405868484,0.22908238466142825,0.2255899269210526
GNN + Relationship,2025-10-21,25,0.6162887931640548,0.7521770682459786,0.026874018348753453,0.40044876584
GNN + Relationship,2025-10-22,21,0.5124018121414226,0.6176907072182883,-0.14036475024407818,0.1150144251904762
