model,event_trading_date,n,mae,rmse,mean_y_true,mean_y_pred
Linear Regression,2025-08-12,40,0.546396976434157,0.6386503422185469,-0.021510404278524225,-0.18828125029999998
Linear Regression,2025-08-13,40,0.5038018376197646,0.6336879425924373,-0.02204249510541558,-0.192370605625
Linear Regression,2025-08-14,47,0.5305859137325953,0.6227518521194046,-0.03528345249434735,-0.20255880125531917
Linear Regression,2025-08-15,47,0.5205679433137101,0.6822413507424188,0.10872904429251844,-0.21132708702127662
Linear Regression,2025-08-18,48,0.8059612514441169,0.999104756963065,0.29530955080796656,-0.21390787727083335
Linear Regression,2025-08-19,32,0.9723211294567691,1.142565622824674,0.6199170272011543,-0.29323577832500003
Linear Regression,2025-08-20,22,0.8642704903503856,0.9968677926735634,0.5331480452282862,-0.29042746827272725
Linear Regression,2025-08-21,27,0.7205842589594758,0.8439751356534682,0.43002829935263703,-0.20125325504444447
Linear Regression,2025-08-22,22,0.5590294882757816,0.7095881851630903,0.021112949841401794,-0.1800759080909091
Linear Regression,2025-08-25,35,0.4171113805204625,0.5236933186825485,-0.38995374560888324,-0.16145368358228573
Linear Regression,2025-08-26,29,0.7024436299748821,0.7266384685269812,-0.8668567743794672,-0.23217773489655172
Linear Regression,2025-08-27,48,0.5791144955276354,0.660550903897023,-0.37079950018475455,-0.1610005694625
Linear Regression,2025-08-28,44,0.4008415989655676,0.5077913776902195,-0.20006302898135883,-0.1359863282409091
Linear Regression,2025-08-29,68,0.4901989213992749,0.5846763938264793,-0.1453050631166929,-0.1848898493735294
Linear Regression,2025-09-03,57,0.4121887958687993,0.5016528316676797,-0.23750580723086992,-0.1906481287859649
Linear Regression,2025-09-04,33,0.42567920041047985,0.5213912319571925,-0.2706651750839118,-0.22759824640909093
Linear Regression,2025-09-05,40,0.408173130122991,0.5302738532985628,-0.26589589260984214,-0.298797608
Linear Regression,2025-09-08,34,0.4794070269497041,0.5485643992251398,-0.692036332014729,-0.3129092939705882
Linear Regression,2025-09-09,34,0.5377066734021234,0.6213275769650372,-0.583147019668318,-0.2246165545882353
Linear Regression,2025-09-10,15,0.42929121790830965,0.5102597630564853,-0.5063832828154167,-0.3451660158
Linear Regression,2025-09-11,24,0.4914052071557194,0.5594322136393904,-0.7523090887504319,-0.4213765509166667
Linear Regression,2025-09-12,35,0.528935627873712,0.6107904066397752,-0.5365998666201319,-0.4171735506114286
Linear Regression,2025-09-15,26,0.43058673220716326,0.4615321309519754,-0.6407614733593968,-0.35571289223076924
Linear Regression,2025-09-16,24,0.38473688547658397,0.4987519019667417,-0.5739597231925776,-0.39455159529166667
Linear Regression,2025-09-17,26,0.26526376921983746,0.3113827790342923,-0.603710324718402,-0.4327674285384615
Linear Regression,2025-09-18,30,0.3558871408294858,0.424444797727271,-0.5061139052112897,-0.27894693950000005
Linear Regression,2025-09-19,27,0.33134261226210354,0.3897287616166681,-0.46342689792315167,-0.3384241180740741
